Session 	Total Run Time	Spreadsheet Read Time 	Spreadsheet Rows	 Query1 Time 	Query Text	Candidates Found	 Bean Build Time	Query2 Time Average	Query2 Time Total	Match Time Average	Match Time Total	Result Save Time	
19618	19532	5	283	7	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1018 	161	440	473	15621	23	775	2684	
19619	108547	3	3	13	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 835 	103012	2181	484	100211	29	6115	24	
19616	24477	6	205	156	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code ,cci.employee_identifier FROM company_candidates cc WITH(NOLOCK) LEFT OUTER JOIN Company_Candidate_Info cci WITH(NOLOCK) ON cci.candidate_id = cc.candidate_id and cci.company_candidate_id = cc.company_candidate_id WHERE cc.company_id = 1018 	16097	461	523	17280	43	1446	5128	
19617	142015	2	5	12	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 466 	132902	3291	494	131639	26	7042	29	
19614	9554	7	980	68	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) JOIN company_candidate_position_position_types ccppt WITH(NOLOCK) ON ccppt.company_candidate_id = cc.company_candidate_id WHERE cc.company_id = 887 AND ccppt.position_position_type_id IN (143317,143318,143319,97294,100721,97044,97459,100722,97033,97462,100723,97045,97463,100724,97046,97464,100706,97032,97467,100727,97035,97468,100730,97036,97469,100728,97034,97470,100729,97043,97471,100731,97047,0) 	6489	165	522	6794	46	606	1914	
19605	2106501	5	1352	6	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 836 	2137995	44654	459	1963138	20	86834	11864	
19641	4271393	1	1	5	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 548 	4407975	104466	450	3971373	22	195542	6	
19640	1895998	1	4	5	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 819 	1935711	49993	452	1753477	23	92499	23	
19643	1927890	2	59	6	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 819 	1935768	50466	458	1773379	26	103684	353	
19642	885726	1	2	6	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 863 	902146	21212	456	824514	22	39978	15	
